责任免除_退还金可能格式,合同终止与满期之间间隔限制_扣除比例,预授权_未通知给付比例
现金价值＝净保费×（1－保险经过日数/保险期间的日数），经过日数不足1日的按1日计算。,无,无
无,无,否
不详,无,无
无,不详,无
无,无,无
无,无,无
无,无,无
无,无,无
无,无,无
无,100%,无
无,无,60%
未满期净保费*1（犹豫期解除合同、申报年龄不真实且不符合合同约定），保费*1（因重大过失未如实告知）,无,60%
无,无,无
犹豫期解除合同（已支付保险费），犹豫期后（未满期净保费），因重大过失未如实告知（保险费），申报年龄不符合限制（未满期净保费），申报年龄导致多付（多收的保费）,0,无
约定,无,60%
约定,0,无
其计算公式为“保险费×（1-35%）”。未满期净保险费＝净保险费×（1－保险经过日数/保险期间的日数），经过日数不足1日的按1日计算。,不详,60%
无,无,60%
约定,无,60%
不详,不详,美国加拿大以外地区70%、美国加拿大地区50%
无,（单次无）（1年期将退还本合同的未满期净保险费）,无
无,无,无
无,无,无
无,无,无
无,无,/
无,无,/
无,无,不详
无,无,无
无,无,无
无,无,60%
无,无,0
无,无,无
无,无,/
无,无,/
无,无,无
无,无,/
无,无,/
不详,不详,无
不详,无,60%
无,无,无
无,无,
无,无,被保险人在进行上述第（一）至（九）项治疗前若未获得事先授权或紧急 情况下未能在规定时间内通知我们的，对于被保险人发生的合理且必要的 医疗费用，我们将按合同约定的赔偿范围、免赔额、赔付比例及费用限额 计算得出的金额，再乘以 60%的比例给付保险金。 被保险人在进行上述第（十）项治疗前若获得事先授权或紧急情况下在规 定时间内通知我们的，对于被保险人发生的合理且必要的医疗费用，我们 将按合同约定的赔偿范围、免赔额、赔付比例及费用限额计算得出的金额， 再乘以 60%的比例给付保险金；否则，我们对被保险人未经许可的治疗而 发生的医疗费用不承担给付保险金的责任。 被保险人在进行上述第（十一）项治疗前若未获得事先授权或紧急情况下 未能在规定时间内通知我们的，我们对被保险人未经许可的治疗而发生的 医疗费用不承担给付保险金的责任。
无,无,被保险人在进行上述第（一）至（十）项治疗前若未获得事先授权或紧急 情况下未能在规定时间内通知我们的，对于被保险人发生的合理且必要的 医疗费用，我们将按合同约定的赔偿范围、赔付比例及费用限额计算得出 的金额，再乘以 60%的比例给付保险金。 被保险人在进行上述第（十一）项治疗前若未获得事先授权或紧急情况下 未能在规定时间内通知我们的，我们对被保险人未经许可的治疗而发生的 医疗费用不承担给付保险金的责任。 
无,不详,无
无,无,/
无,无,100%
无,无,无
无,无,无
不详,无,无
（因重大过失未如实告知，退还保险费），（申报年龄性别不真实，退还多收的保险费）,无,无
保单现金价值=最近一期已交保费*n；n∈[25%，60%],当期应付而未付的保险费,无
无,无,
无,无,无
无,无,无
无,无,无
未到期保险费＝已缴纳的最后一次保险费×[1-（最近一次缴费经过的天数÷最近一次缴费与下一次缴费之间的天数）]手续费＝未到期保险费×35％,无,75%
出生满2个月但不满3个月，季交30%；出生满3月不满4月，半年交25%；出生满4月但不满5月，半年40%；出生满5月但不满6月，半年50%；出生满6月但不满7月，年25%；出生满7月但不满8月，年30%；出生满8月不满9月，40%；出生满9月不满10月，年50%；满十个月，年60%）,无,无
无,无,无
无,手续费（未满期保费50%）,无
无,手续费（未满期保费50%）,无
无,无,无
退保金=合同终止时的现金价值,手续费=未到期保费*35%,75%（再扣除免赔额、自付额、额外自付额）
（年交方式）退还金=最后一期已交保费*n；n∈[15%，50%],无,60%（全球医疗紧急救援以及遗体遣送及安葬，0）
未到期保险费×（1-25%）。未到期保险费＝所交保险费×（1-保险责任已经过的天数/保险期间的天数,无,无
未到期保险费＝已缴纳的最后一次保险费×[1－（最近一次缴费经过的天数÷最近一次缴费与下一次缴费之间的天数）]手续费＝未到期保险费×35％,无,无
未到期保险费＝已缴纳的最后一次保险费×[1－（最近一次缴费经过的天数÷最近一次缴费与下一次缴费之间的天数）],无,无
无,无,无
无,无,无
无,无,无
无,无,无
无,未满期净保险费=最后一期已支付保险费×（1－35%）×（1－该保险费所保障的已经过日数÷该保险费所保障的日数）,无
无,未满期净保险费=最后一期已支付保险费×（1－35%）×（1－该保险费所保障的已经过日数÷该保险费所保障的日数）,无
无,无,/
无,无,/
现金价值=本合同的保险费×70％×（1－保险期间已过天数/保险期间天数）,（未发生保险金给付）退还现金价值=本合同的保险费×70％×（1－保险期间已过天数/保险期间天数）,无
无,手续费=25%×保险费×（1－保险经过的日数 / 保险期间的日数）,无
现金价值=保险费×（1-本合同约定的保险期间已经过的天数/本合同约定的保险期间对应的天数）×0.65,退还现金价值=保险费×（1-本合同约定的保险期间已经过的天数/本合同约定的保险期间对应的天数）×0.65,无
最后一期已交付保险费×（1-35%）×（1－该保险费所保障的已经过日数/该保险费所保障的日数）,无,无
现金价值=最后一期已交保费*65%*（1-该保费所保障的已过日数/该保费所保障的日数）,该保单年度应交未交的保险费,无
最后一期已交付保险费×（1-35%）×（1－该保险费所保障的已经过日数/该保险费所保障的日数）,无,无
合同的现金价值=最后一期已交保费*65%*（1-该保费所保障的已过日数/该保费保障的日数）,该保险年度应交未交的保费,无
合同的现金价值=最后一期已交保费*65%*（1-该保费所保障的已过日数/该保费保障的日数）,该保险年度应交未交的保险费,无
全额,无,无
无,无,无
无,无,无
无,不详,无
无,无,无
无,无,无
未满期净保险费,无,无
未满期保险费,无,是
无,无,无
无,无,无
无,无,无
无,无,无
无,无,80%
无,无,无
无,无,无
无,无,无
无,无,无
无,无,80%
无,不详,无
无,不详,无
无,无,60%
未满期保险金,无,无
约定,无,60%
不详,无,无
保险费×0.65×（1—保单经过月数/保险期间月数）,无,无
不详,无,无
不详,无,不详
无,无,不详
不详,无,无
约定,无,无
净保险费×（1－保险经过天数/保险期间的天数）,无,无
不详,无,无
不详,无,0
无,无,无
约定,无,无
无,无,无
无,无,无
无,无,无
无,无,无
无,无,无
无,无,0
约定,无,无
约定,无,约定
无,无,无
无,无,无
无,无,无
无,无,无
无,无,无
无,无,无
无,无,80%
无,无,80%
不详,无,无
无,无,60%
无,无,0
约定,无,无
无,无,0
约定,无,0
不详,无,无
无,无,60%
不详,无,无
无,无,0
无,无,0
无,无,0
无,无,无
已缴纳的保险费×[1-（合同生效日至合同终止日经过的天数（不含合同生效日当天）÷保险期间对应的天数）],无,无
未到期保险费＝已缴纳的保险费×[1-（合同生效日至合同终止日经过的天数（不含合同生效日当天）÷保险期间对应的天数）],无,无
无,无,无
未到期保险费＝已缴纳的保险费×[1-（合同生效日至合同终止日经过的天数（不含合同生效日当天）÷保险期间对应的天数）],无,无
未到期保险费＝已缴纳的保险费×[1-（合同生效日至合同终止日经过的天数（不含合同生效日当天）÷保险期间对应的天数）]。,无,无
无,35%,60%
无,35%,前四项60%，第五项0
【未满期保险费】非连续投保本保险（未过等待期，未满期净保险费=保险费×65％）；（已过等待期，未满期净保险费=保险费×65％×[1－(保险经过日数-等待期日数)/（保险期间的日数-等待期日数）]），连续投保未满期净保险费=保险费×65％×（1－保险经过日数/保险期间的日数）,35%,无预授权
无,35%*10%,无
不详,无,60%
无,不详,无
无,无,无
未到期净保费=保险费×（1-35%）×（1-经过天数/本合同保险期间内所包含的天数）,不详,无
无,30%,0或比例支付
未满期保险费=本期应交保险费×（本期保险费未经过日数/本期保险费应承保日数）,无,60%
无,32%,无
无,35%,无
无,35%,无
退还金=最后一期已交保费*一定比例,不详,无
无,35%,无
无,手续费（生效未满180天且未发生给付）,无
无,无,无
未到期保险费=保险费×（未经过天数/保险期间的天数）（扣除手续费：35%×未到期保险费）,无,无
不详,无,无
无,35%,无
无,35%,无
无,无,无
无,无,无
无,35%,无
无,35%,无
无,25%,无
无,40%,无
无,35%,0
无,无,无
无,无,/
无,无,/
无,无,/
本合同已交保险费×（1-35%）×（1-经过天数365）,无,/
无,35%,无
无,无,/
（满10个月，年交×35%)(满9个月但不满10个月，年交×25%）（满8个月但不满9个月，年交20%）（满7个月但不满8个月，年交15%）（满6个月但不满7个月，年交10%）（满5个月但不满6个月，半年交30%）（满4个月但不满5个月，半年交20%）（满3个月但不满四个月，半年交10%）（满2个月但不满3个月，季交20%）,无,/
现金价值=最近一期已交保费*不同缴费方式及未到期月数下的比例,按保费交费方式与未到期月数划分，40%-75%,无
无,无,/
现金价值=最近一期已交保费*不同交费方式及未到期月数下的比例,按保费缴费方式和未到期月数划分，40%-75%,无
无,无,/
无,无,不详
现金价值=未到期保险费*65%,35%,无
无,无,无
无,无,/
无,无,无
（足10个月，年交60%）（足9个月不足10个月；年交50%）（足8个月不足9个月；年交40%）（足7个月不足8个月；年交30%）（足6个月不足7个月；年交25%）（足5个月不足6个月；半年交50%）（足4个月不足5个月，半年交40%）（足3个月不足4个月；半年交25%）（足2个月不足3个月；季交30%）,无,/
不详,不详,无
（满10个月，年交60%）（满9个月不满10个月，年交50%）（满8个月不满9个月，年交40%）（满7个月但不满8个月，年交30%）（满6个月但不满7个月，年交25%）,无,/
（足10个月；年交60%)(足9个月小于10个月；年交50%）（足8个月不足9个月；年交40%）（足七个月不足八个月；年交30%）（足六个月不足七个月；年交25%）（足五个月不足六个月；半年交50%）（足四个月不足五个月；半年交40%）（足三个月不足四个月；半年交25%）（足两个月不足三个月；季交30%）,无,/
无,35%,无
（足10个月；年交60%）（足九个月不足十个月；年交50%)（足八个月不足九个月；年交40%）（足七个月不足八个月；年交30%）（足六个月不足七个月；年交25%）（足五个月不足六个月，半年交50%）（足四个月不足五个月；半年交40%）（足三个月不足四个月；半年交25%）（足两个月不足三个月；季交30%）,无,/
无,无,/
无,无,无
无,不详,不详
无,无,/
无,无,/
无,无,/
无,无,/
不详,无,无
无,无,/
无,无,/
无,无,/
无,无,/
无,无,/
无,无,/
保险费×0.65×（1－保单经过日数/保险期间日数）,无,/
保险费×0.65×（1－保单经过月数/保险期间月数）,无,/
无,无,无
无,无,/
无,无,/
无,无,无
无,无,/
无,无,/
无,无,无
不详,无,/
无,无,/
约定,无,/
无,无,/
现金价值*1；全部已交保费*1,无,无
无,无,/
无,无,/
无,无,无
无,无,/
无,无,/
无,无,无
无,无,无
无,无,无
无,无,无
未满期净保险费*1,无,无
无,无,无
保险费*1,无,无
无,无,/
无,无,/
约定,无,/
无,无,无
无,无,/
不详,不详,无
无,无,/
无,无,/
无,无,/
无,无,/
无,无,/
无,无,/
不详,无,/
不详,不详,无
